LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,UN
1700121938.000000,125855,15163,2,UN,1,100,sessione palestra inizio
1700121956.000000,143480,17972,2,UN,1,100,trazione+flessione+chin up
1700122127.000000,311809,44118,2,UN,1,100,riposo
1700122293.000000,473985,3813,2,UN,1,100,ripetizione con carico 5kg aggiunto
1700122520.000000,695261,38244,2,UN,1,100,inizio panca piana con 84kg caricati
1700122680.000000,851329,62421,2,UN,1,100,inizio panca 1 rep
1700122767.000000,936680,10260,2,UN,1,100,riposo
1700122937.000000,1101770,36671,2,UN,1,100,riprese esecuzione
1700122983.000000,1148740,43993,2,UN,1,100,2 esecuzione
1700123058.000000,1220603,55202,2,UN,1,100,riposo
1700123160.000000,1320000,5126,2,UN,1,100,terza ripetizione
1700123257.000000,1414691,19881,2,UN,1,100,riposo
1700123415.000000,1569327,43929,2,UN,1,100,quarta rep
1700123533.000000,1685170,61825,2,UN,1,100,riposo
1700123733.000000,1880151,27696,2,UN,1,100,cambio esercizio
1700123911.000000,2053855,54708,2,UN,1,100,riposo
1700124157.000000,2294964,26821,2,UN,1,100,seconda esecuzione
1700124163.000000,2300267,27645,2,UN,1,100,riposo
1700124285.000000,2420490,46386,2,UN,1,100,terza ripetizione
1700124570.000000,2697809,24249,2,UN,1,100,croci a 20 kg per manubrio
1700124677.000000,2804593,40900,2,UN,1,100,riposo
1700124806.000000,2929333,60282,2,UN,1,100,seconda esecuzione croci
1700124911.000000,3031601,10704,2,UN,1,100,riposo
1700125215.000000,3328095,57057,2,UN,1,100,cambio esercizio
1700125431.000000,3539662,24549,2,UN,1,100,seconda esec
1700125491.000000,3598010,33601,2,UN,1,100,riposo
1700125706.000000,3807291,570,2,UN,1,100,cambio esercizio
1700125804.000000,3902584,15356,2,UN,1,100,chest press prima esecuzione
1700126001.000000,4096334,45416,2,UN,1,100,termine sessione
